Order Date,Customer ID,City,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
18-06-2013,TB-21055,Troy,New York,Office Supplies,Paper,14.56,2,0,6.9888
18-06-2013,TB-21055,Troy,New York,Technology,Accessories,30,2,0,3.3
18-06-2013,TB-21055,Troy,New York,Office Supplies,Binders,48.48,4,0.2,16.362
18-06-2013,TB-21055,Troy,New York,Office Supplies,Art,1.68,1,0,0.84
24-11-2012,KM-16720,Los Angeles,California,Technology,Accessories,13.98,2,0,6.1512
24-11-2012,KM-16720,Los Angeles,California,Office Supplies,Binders,25.824,6,0.2,9.3612
24-11-2012,KM-16720,Los Angeles,California,Office Supplies,Paper,146.73,3,0,68.9631
24-11-2012,KM-16720,Los Angeles,California,Furniture,Furnishings,79.76,4,0,22.3328
30-04-2012,PS-18970,Chicago,Illinois,Furniture,Chairs,213.115,5,0.3,-15.2225
5/12/2011,BS-11590,Gilbert,Arizona,Office Supplies,Art,1113.024,8,0.2,111.3024
5/12/2011,BS-11590,Gilbert,Arizona,Technology,Phones,167.968,4,0.2,62.988
5/6/2013,KD-16270,Springfield,Virginia,Office Supplies,Paper,75.88,2,0,35.6636
19-09-2013,HM-14980,New York City,New York,Office Supplies,Binders,4.616,1,0.2,1.731
15-09-2014,TB-21520,Jackson,Michigan,Office Supplies,Paper,19.05,3,0,8.763
26-04-2012,JE-15745,Memphis,Tennessee,Furniture,Chairs,831.936,8,0.2,-114.3912
26-04-2012,JE-15745,Memphis,Tennessee,Furniture,Furnishings,97.04,2,0.2,1.213
26-04-2012,JE-15745,Memphis,Tennessee,Office Supplies,Storage,72.784,1,0.2,-18.196
10/12/2014,KB-16600,Houston,Texas,Office Supplies,Binders,1.248,3,0.8,-1.9344
10/12/2014,KB-16600,Houston,Texas,Furniture,Furnishings,9.708,3,0.6,-5.8248
10/12/2014,KB-16600,Houston,Texas,Office Supplies,Storage,27.24,3,0.2,2.724
26-11-2011,JE-15745,Houston,Texas,Furniture,Furnishings,19.3,5,0.6,-14.475
13-06-2013,SC-20770,Decatur,Alabama,Office Supplies,Appliances,208.16,1,0,56.2032
13-06-2013,SC-20770,Decatur,Alabama,Office Supplies,Binders,16.74,3,0,8.0352
12/10/2011,DN-13690,San Francisco,California,Office Supplies,Art,14.9,5,0,4.172
12/10/2011,DN-13690,San Francisco,California,Office Supplies,Storage,21.39,1,0,6.2031
3/9/2012,JC-16105,Durham,North Carolina,Office Supplies,Envelopes,200.984,7,0.2,62.8075
14-11-2014,CS-12400,Chicago,Illinois,Office Supplies,Storage,230.376,3,0.2,-48.9549
29-05-2014,PO-18865,Columbia,South Carolina,Furniture,Chairs,301.96,2,0,33.2156
27-10-2014,PG-18895,Rochester,Minnesota,Technology,Accessories,19.99,1,0,6.7966
27-10-2014,PG-18895,Rochester,Minnesota,Office Supplies,Labels,6.16,2,0,2.9568
6/4/2013,GM-14455,Houston,Texas,Office Supplies,Storage,158.368,7,0.2,13.8572
18-09-2013,JS-15685,Los Angeles,California,Office Supplies,Art,20.1,3,0,6.633
18-09-2013,JS-15685,Los Angeles,California,Technology,Phones,73.584,2,0.2,8.2782
18-09-2013,JS-15685,Los Angeles,California,Office Supplies,Paper,6.48,1,0,3.1104
31-01-2012,KB-16315,Minneapolis,Minnesota,Office Supplies,Paper,12.96,2,0,6.2208
31-01-2012,KB-16315,Minneapolis,Minnesota,Furniture,Furnishings,53.34,3,0,16.5354
31-01-2012,KB-16315,Minneapolis,Minnesota,Office Supplies,Binders,32.96,2,0,16.1504
7/11/2014,RB-19705,Portland,Oregon,Office Supplies,Binders,5.682,1,0.7,-3.788
10/11/2014,PN-18775,New York City,New York,Furniture,Furnishings,96.53,7,0,40.5426
18-06-2014,KD-16345,San Francisco,California,Office Supplies,Binders,51.312,3,0.2,17.9592
7/9/2013,ER-13855,Saint Paul,Minnesota,Office Supplies,Appliances,77.88,6,0,22.5852
30-08-2013,RB-19465,Chicago,Illinois,Office Supplies,Paper,64.624,7,0.2,22.6184
30-08-2013,RB-19465,Chicago,Illinois,Technology,Accessories,95.976,3,0.2,-10.7973
30-08-2013,RB-19465,Chicago,Illinois,Office Supplies,Binders,1.788,3,0.8,-3.0396
2/12/2013,GZ-14470,Rochester,Minnesota,Office Supplies,Paper,23.92,4,0,11.7208
13-11-2012,LC-16870,Aurora,Colorado,Technology,Accessories,238.896,6,0.2,-26.8758
13-11-2012,LC-16870,Aurora,Colorado,Furniture,Furnishings,102.36,3,0.2,-3.8385
13-11-2012,LC-16870,Aurora,Colorado,Office Supplies,Binders,36.882,3,0.7,-25.8174
24-11-2014,JM-15250,Charlotte,North Carolina,Technology,Accessories,74.112,8,0.2,17.6016
24-11-2014,JM-15250,Charlotte,North Carolina,Technology,Phones,27.992,1,0.2,2.0994
24-11-2014,JM-15250,Charlotte,North Carolina,Office Supplies,Art,3.304,1,0.2,1.0738
15-10-2012,PA-19060,Orland Park,Illinois,Technology,Accessories,339.96,5,0.2,67.992
26-12-2014,CV-12805,New York City,New York,Furniture,Furnishings,41.96,2,0,10.9096
4/11/2013,CL-12565,Urbandale,Iowa,Office Supplies,Art,75.96,2,0,22.788
4/11/2013,CL-12565,Urbandale,Iowa,Office Supplies,Binders,27.24,6,0,13.3476
25-08-2011,RC-19960,Columbus,Ohio,Office Supplies,Fasteners,40.096,14,0.2,14.5348
25-08-2011,RC-19960,Columbus,Ohio,Office Supplies,Envelopes,4.72,2,0.2,1.652
25-08-2011,RC-19960,Columbus,Ohio,Office Supplies,Paper,23.976,3,0.2,7.4925
25-08-2011,RC-19960,Columbus,Ohio,Office Supplies,Envelopes,130.464,6,0.2,44.0316
2/3/2012,DK-13090,Seattle,Washington,Furniture,Tables,787.53,3,0,165.3813
5/4/2012,GG-14650,Bristol,Tennessee,Office Supplies,Binders,157.794,1,0.7,-115.7156
13-06-2013,SC-20725,Wilmington,Delaware,Furniture,Furnishings,47.04,3,0,18.3456
13-06-2013,SC-20725,Wilmington,Delaware,Office Supplies,Binders,30.84,4,0,13.878
13-06-2013,SC-20725,Wilmington,Delaware,Office Supplies,Storage,226.56,6,0,63.4368
13-06-2013,SC-20725,Wilmington,Delaware,Office Supplies,Envelopes,115.02,9,0,51.759
13-06-2013,SC-20725,Wilmington,Delaware,Technology,Phones,68.04,7,0,19.7316
26-12-2011,AD-10180,Houston,Texas,Furniture,Chairs,600.558,3,0.3,-8.5794
20-09-2011,PF-19165,Bloomington,Illinois,Furniture,Tables,617.7,6,0.5,-407.682
6/11/2014,TS-21610,Phoenix,Arizona,Office Supplies,Binders,2.388,2,0.7,-1.8308
6/11/2014,TS-21610,Phoenix,Arizona,Office Supplies,Storage,243.992,7,0.2,30.499
7/11/2013,LS-16975,Los Angeles,California,Furniture,Chairs,81.424,2,0.2,-9.1602
7/11/2013,LS-16975,Los Angeles,California,Furniture,Furnishings,238.56,3,0,26.2416
3/2/2014,DW-13585,Columbus,Ohio,Technology,Phones,59.97,5,0.4,-11.994
3/2/2014,DW-13585,Columbus,Ohio,Office Supplies,Paper,78.304,2,0.2,29.364
3/2/2014,DW-13585,Columbus,Ohio,Office Supplies,Fasteners,21.456,9,0.2,6.9732
14-10-2013,LC-16885,Roseville,California,Office Supplies,Paper,20.04,3,0,9.6192
14-10-2013,LC-16885,Roseville,California,Office Supplies,Paper,35.44,1,0,16.6568
14-10-2013,LC-16885,Roseville,California,Office Supplies,Art,11.52,4,0,3.456
14-10-2013,LC-16885,Roseville,California,Office Supplies,Fasteners,4.02,2,0,1.9698
14-10-2013,LC-16885,Roseville,California,Office Supplies,Binders,76.176,3,0.2,26.6616
14-10-2013,LC-16885,Roseville,California,Office Supplies,Supplies,65.88,6,0,18.4464
14-10-2013,LC-16885,Roseville,California,Furniture,Furnishings,43.12,14,0,20.6976
6/9/2013,JD-15895,Philadelphia,Pennsylvania,Furniture,Furnishings,82.8,2,0.2,10.35
19-09-2014,SH-19975,San Francisco,California,Office Supplies,Art,8.82,3,0,2.3814
19-09-2014,SH-19975,San Francisco,California,Office Supplies,Envelopes,10.86,3,0,5.1042
19-09-2014,SH-19975,San Francisco,California,Office Supplies,Paper,143.7,3,0,68.976
23-12-2014,SG-20080,Independence,Missouri,Office Supplies,Appliances,839.43,3,0,218.2518
7/9/2012,HA-14920,Pasadena,California,Office Supplies,Storage,671.93,7,0,20.1579
22-10-2011,MG-17680,Newark,Ohio,Furniture,Furnishings,93.888,4,0.2,12.9096
6/12/2013,JE-16165,Franklin,Wisconsin,Technology,Phones,384.45,11,0,103.8015
6/12/2013,JE-16165,Franklin,Wisconsin,Technology,Phones,149.97,3,0,5.9988
6/12/2013,JE-16165,Franklin,Wisconsin,Furniture,Chairs,1951.84,8,0,585.552
6/12/2013,JE-16165,Franklin,Wisconsin,Office Supplies,Binders,171.55,5,0,80.6285
14-03-2013,TW-21025,Scottsdale,Arizona,Office Supplies,Appliances,157.92,5,0.2,17.766
14-03-2013,TW-21025,Scottsdale,Arizona,Technology,Phones,203.184,2,0.2,15.2388
31-05-2012,SP-20650,San Jose,California,Office Supplies,Paper,58.38,7,0,26.271
31-05-2012,SP-20650,San Jose,California,Office Supplies,Paper,105.52,4,0,48.5392
31-05-2012,SP-20650,San Jose,California,Office Supplies,Storage,80.88,6,0,21.0288
28-05-2012,NK-18490,Seattle,Washington,Office Supplies,Art,6.63,3,0,1.7901
1/3/2011,DB-13060,Seattle,Washington,Furniture,Chairs,457.568,2,0.2,51.4764
21-11-2013,NP-18670,Edmond,Oklahoma,Office Supplies,Labels,14.62,2,0,6.8714
21-11-2013,NP-18670,Edmond,Oklahoma,Technology,Phones,944.93,7,0,236.2325
12/5/2013,TT-21070,Los Angeles,California,Office Supplies,Paper,5.98,1,0,2.691
28-12-2012,EM-13960,Philadelphia,Pennsylvania,Technology,Accessories,54.384,2,0.2,1.3596
17-11-2013,RD-19900,Carlsbad,New Mexico,Office Supplies,Envelopes,28.4,5,0,13.348
8/11/2013,MJ-17740,Seattle,Washington,Office Supplies,Binders,27.68,2,0.2,9.688
8/9/2011,BM-11140,San Antonio,Texas,Office Supplies,Art,9.936,3,0.2,2.7324
8/9/2011,BM-11140,San Antonio,Texas,Technology,Machines,8159.952,8,0.4,-1359.992
8/9/2011,BM-11140,San Antonio,Texas,Office Supplies,Storage,275.928,3,0.2,-58.6347
8/9/2011,BM-11140,San Antonio,Texas,Furniture,Chairs,1740.06,9,0.3,-24.858
8/9/2011,BM-11140,San Antonio,Texas,Office Supplies,Art,32.064,6,0.2,6.8136
8/9/2011,BM-11140,San Antonio,Texas,Office Supplies,Appliances,177.98,5,0.8,-453.849
8/9/2011,BM-11140,San Antonio,Texas,Technology,Phones,143.976,3,0.2,8.9985
5/8/2011,CS-12130,Los Angeles,California,Office Supplies,Paper,20.94,3,0,9.8418
5/8/2011,CS-12130,Los Angeles,California,Office Supplies,Paper,110.96,2,0,53.2608
5/8/2011,CS-12130,Los Angeles,California,Furniture,Chairs,340.144,7,0.2,21.259
14-09-2011,JB-15400,Chicago,Illinois,Office Supplies,Appliances,52.448,2,0.8,-131.12
14-09-2011,JB-15400,Chicago,Illinois,Office Supplies,Labels,20.16,4,0.2,6.552
22-04-2014,SJ-20500,Houston,Texas,Office Supplies,Appliances,97.264,4,0.8,-243.16
21-11-2012,JE-15745,Newark,Ohio,Furniture,Chairs,396.802,7,0.3,-11.3372
21-11-2012,JE-15745,Newark,Ohio,Office Supplies,Supplies,15.88,5,0.2,-3.7715
15-12-2012,JK-15640,New York City,New York,Office Supplies,Art,3.28,1,0,1.4104
5/12/2011,DK-13150,Decatur,Illinois,Office Supplies,Storage,24.816,2,0.2,1.8612
5/12/2011,DK-13150,Decatur,Illinois,Technology,Accessories,408.744,7,0.2,76.6395
19-11-2011,RM-19675,Monroe,Louisiana,Technology,Phones,503.96,4,0,131.0296
19-11-2011,RM-19675,Monroe,Louisiana,Technology,Phones,149.95,5,0,41.986
19-11-2011,RM-19675,Monroe,Louisiana,Technology,Accessories,29,2,0,7.25
29-11-2013,SK-19990,Fairfield,Connecticut,Office Supplies,Binders,7.16,2,0,3.4368
26-08-2011,FM-14290,Los Angeles,California,Technology,Accessories,176.8,8,0,22.984
17-07-2013,AM-10360,Grand Prairie,Texas,Office Supplies,Storage,37.224,3,0.2,3.7224
17-07-2013,AM-10360,Grand Prairie,Texas,Office Supplies,Paper,20.016,3,0.2,6.255
12/10/2012,MP-17470,New York City,New York,Furniture,Bookcases,899.136,4,0.2,112.392
12/10/2012,MP-17470,New York City,New York,Technology,Phones,71.76,6,0,20.0928
12/10/2012,MP-17470,New York City,New York,Office Supplies,Paper,51.84,8,0,24.8832
12/10/2012,MP-17470,New York City,New York,Furniture,Bookcases,626.352,3,0.2,46.9764
12/10/2012,MP-17470,New York City,New York,Office Supplies,Art,19.9,5,0,6.567
31-10-2012,MZ-17515,Redlands,California,Office Supplies,Envelopes,14.28,7,0,6.7116
21-03-2011,CB-12025,Hamilton,Ohio,Office Supplies,Art,7.408,2,0.2,1.2038
21-03-2011,CB-12025,Hamilton,Ohio,Office Supplies,Art,6.048,3,0.2,1.5876
7/11/2014,VM-21685,Westfield,New Jersey,Office Supplies,Storage,46.26,3,0,12.0276
7/7/2014,FH-14365,Philadelphia,Pennsylvania,Office Supplies,Binders,2.946,2,0.7,-2.2586
7/7/2014,FH-14365,Philadelphia,Pennsylvania,Office Supplies,Paper,16.056,3,0.2,5.8203
25-06-2014,MB-17305,Akron,Ohio,Office Supplies,Paper,21.744,3,0.2,6.795
3/8/2011,BS-11755,Denver,Colorado,Furniture,Tables,218.75,2,0.5,-161.875
3/8/2011,BS-11755,Denver,Colorado,Office Supplies,Appliances,2.6,1,0.2,0.2925
18-12-2014,LC-17140,Dallas,Texas,Office Supplies,Appliances,66.284,2,0.8,-178.9668
4/6/2014,HK-14890,Franklin,Tennessee,Furniture,Furnishings,35.168,7,0.2,9.6712
10/12/2014,LE-16810,Whittier,California,Technology,Phones,444.768,4,0.2,44.4768
2/12/2014,JH-15985,Saginaw,Michigan,Office Supplies,Storage,83.92,4,0,5.8744
2/12/2014,JH-15985,Saginaw,Michigan,Technology,Phones,131.98,2,0,35.6346
2/12/2014,JH-15985,Saginaw,Michigan,Office Supplies,Binders,15.92,4,0,7.4824
2/12/2014,JH-15985,Saginaw,Michigan,Office Supplies,Fasteners,52.29,9,0,16.2099
2/12/2014,JH-15985,Saginaw,Michigan,Office Supplies,Storage,91.99,1,0,3.6796
9/2/2012,MS-17980,Dallas,Texas,Technology,Accessories,20.8,2,0.2,6.5
2/1/2012,VW-21775,Medina,Ohio,Office Supplies,Labels,23.68,2,0.2,8.88
2/1/2012,VW-21775,Medina,Ohio,Furniture,Bookcases,452.45,5,0.5,-244.323
2/1/2012,VW-21775,Medina,Ohio,Technology,Phones,62.982,3,0.4,-14.6958
2/1/2012,VW-21775,Medina,Ohio,Technology,Machines,1188,9,0.7,-950.4
2/1/2012,VW-21775,Medina,Ohio,Technology,Accessories,89.584,2,0.2,4.4792
29-10-2013,JH-15910,Los Angeles,California,Office Supplies,Storage,93.06,6,0,26.0568
29-10-2013,JH-15910,Los Angeles,California,Technology,Phones,302.376,3,0.2,22.6782
24-12-2012,JB-15925,Dublin,Ohio,Office Supplies,Fasteners,5.584,2,0.2,1.8148
24-12-2012,JB-15925,Dublin,Ohio,Office Supplies,Paper,22.704,6,0.2,8.2302
24-12-2012,JB-15925,Dublin,Ohio,Office Supplies,Binders,19.776,4,0.7,-13.8432
24-12-2012,JB-15925,Dublin,Ohio,Furniture,Furnishings,72.704,4,0.2,19.0848
24-12-2012,JB-15925,Dublin,Ohio,Technology,Machines,479.988,4,0.7,-383.9904
24-12-2012,JB-15925,Dublin,Ohio,Office Supplies,Art,27.168,2,0.2,2.7168
9/8/2012,DS-13180,Detroit,Michigan,Office Supplies,Art,2.2,1,0,0.968
9/8/2012,DS-13180,Detroit,Michigan,Furniture,Tables,622.45,5,0,136.939
9/8/2012,DS-13180,Detroit,Michigan,Office Supplies,Storage,21.98,1,0,0.2198
28-02-2012,VD-21670,Columbia,Tennessee,Furniture,Chairs,161.568,2,0.2,-28.2744
28-02-2012,VD-21670,Columbia,Tennessee,Furniture,Chairs,389.696,8,0.2,43.8408
13-09-2011,EA-14035,Charlotte,North Carolina,Office Supplies,Binders,18.648,7,0.7,-12.432
8/4/2014,CS-12400,Tampa,Florida,Furniture,Tables,233.86,2,0.45,-102.048
8/4/2014,CS-12400,Tampa,Florida,Furniture,Tables,620.6145,3,0.45,-248.2458
8/4/2014,CS-12400,Tampa,Florida,Office Supplies,Binders,5.328,2,0.7,-3.552
8/4/2014,CS-12400,Tampa,Florida,Furniture,Furnishings,258.072,3,0.2,0
8/4/2014,CS-12400,Tampa,Florida,Technology,Accessories,617.976,3,0.2,-7.7247
13-11-2014,DB-13120,Santa Clara,California,Office Supplies,Paper,10.56,2,0,4.752
5/6/2013,KL-16645,Chicago,Illinois,Office Supplies,Paper,25.92,5,0.2,9.396
5/6/2013,KL-16645,Chicago,Illinois,Furniture,Furnishings,419.68,5,0.6,-356.728
5/6/2013,KL-16645,Chicago,Illinois,Furniture,Furnishings,11.688,3,0.6,-4.6752
5/6/2013,KL-16645,Chicago,Illinois,Technology,Phones,31.984,2,0.2,11.1944
5/6/2013,KL-16645,Chicago,Illinois,Furniture,Tables,177.225,5,0.5,-120.513
5/6/2013,KL-16645,Chicago,Illinois,Furniture,Furnishings,4.044,3,0.6,-2.8308
5/6/2013,KL-16645,Chicago,Illinois,Office Supplies,Art,7.408,2,0.2,1.2038
1/6/2011,DW-13480,Lakeville,Minnesota,Furniture,Chairs,2001.86,7,0,580.5394
1/6/2011,DW-13480,Lakeville,Minnesota,Office Supplies,Storage,166.72,2,0,41.68
1/6/2011,DW-13480,Lakeville,Minnesota,Office Supplies,Paper,47.88,6,0,23.94
1/6/2011,DW-13480,Lakeville,Minnesota,Office Supplies,Appliances,1503.25,5,0,496.0725
1/6/2011,DW-13480,Lakeville,Minnesota,Office Supplies,Paper,25.92,4,0,12.4416
11/12/2013,LH-17155,San Francisco,California,Furniture,Chairs,321.568,2,0.2,28.1372
12/9/2013,KC-16540,San Diego,California,Office Supplies,Paper,7.61,1,0,3.5767
12/9/2013,KC-16540,San Diego,California,Technology,Accessories,3347.37,13,0,636.0003
11/12/2013,DL-13315,New York City,New York,Office Supplies,Storage,80.58,6,0,22.5624
11/12/2013,DL-13315,New York City,New York,Office Supplies,Envelopes,361.92,4,0,162.864
28-11-2012,DR-12880,Chicago,Illinois,Furniture,Furnishings,12.132,9,0.6,-8.4924
28-11-2012,DR-12880,Chicago,Illinois,Office Supplies,Storage,82.368,2,0.2,-19.5624
28-11-2012,DR-12880,Chicago,Illinois,Office Supplies,Storage,53.92,5,0.2,4.044
28-11-2012,DR-12880,Chicago,Illinois,Technology,Phones,647.904,6,0.2,56.6916
2/12/2014,CC-12670,New York City,New York,Technology,Accessories,20.37,3,0,6.9258
2/12/2014,CC-12670,New York City,New York,Office Supplies,Storage,221.55,3,0,6.6465
2/12/2014,CC-12670,New York City,New York,Office Supplies,Binders,17.52,5,0.2,6.132
9/6/2014,Dl-13600,Pasadena,Texas,Office Supplies,Appliances,1.624,2,0.8,-4.466
19-09-2011,SB-20290,Houston,Texas,Technology,Machines,3059.982,3,0.4,-509.997
19-09-2011,SB-20290,Houston,Texas,Technology,Machines,2519.958,7,0.4,-251.9958
7/6/2013,RC-19825,Chicago,Illinois,Technology,Phones,328.224,4,0.2,28.7196
10/11/2012,AH-10210,Brentwood,California,Technology,Accessories,79.9,2,0,35.156
17-06-2014,CB-12535,Chapel Hill,North Carolina,Office Supplies,Art,14.016,3,0.2,4.7304
22-01-2013,PG-18895,Morristown,New Jersey,Office Supplies,Fasteners,7.56,6,0,0.3024
10/12/2014,CA-12310,Cincinnati,Ohio,Office Supplies,Storage,37.208,1,0.2,-7.4416
10/12/2014,CA-12310,Cincinnati,Ohio,Office Supplies,Envelopes,57.576,3,0.2,21.591
29-12-2014,KH-16690,San Francisco,California,Office Supplies,Storage,725.84,4,0,210.4936
30-07-2012,HA-14920,San Francisco,California,Technology,Accessories,209.93,7,0,92.3692
30-07-2012,HA-14920,San Francisco,California,Furniture,Furnishings,5.28,3,0,2.3232
30-07-2012,HA-14920,San Francisco,California,Office Supplies,Binders,10.92,3,0.2,4.095
17-09-2014,BB-10990,Inglewood,California,Office Supplies,Paper,8.82,2,0,4.0572
17-09-2014,BB-10990,Inglewood,California,Office Supplies,Art,5.98,1,0,1.5548
14-10-2014,AG-10495,Philadelphia,Pennsylvania,Office Supplies,Paper,11.648,2,0.2,4.0768
14-10-2014,AG-10495,Philadelphia,Pennsylvania,Office Supplies,Paper,18.176,4,0.2,5.9072
14-10-2014,AG-10495,Philadelphia,Pennsylvania,Office Supplies,Storage,59.712,6,0.2,5.9712
14-10-2014,AG-10495,Philadelphia,Pennsylvania,Office Supplies,Labels,24.84,3,0.2,8.694
26-09-2012,SC-20725,Houston,Texas,Office Supplies,Binders,2.08,5,0.8,-3.432
26-09-2012,SC-20725,Houston,Texas,Technology,Phones,1114.4,7,0.2,376.11
2/11/2012,JO-15280,Los Angeles,California,Furniture,Tables,1038.84,5,0.2,51.942
26-09-2012,TB-21520,Portland,Oregon,Office Supplies,Paper,141.76,5,0.2,47.844
26-09-2012,TB-21520,Portland,Oregon,Technology,Accessories,239.8,5,0.2,47.96
26-09-2012,TB-21520,Portland,Oregon,Office Supplies,Paper,31.104,6,0.2,10.8864
19-12-2013,AH-10195,Tamarac,Florida,Office Supplies,Binders,254.058,7,0.7,-169.372
19-12-2013,AH-10195,Tamarac,Florida,Office Supplies,Appliances,194.528,2,0.2,24.316
19-12-2013,AH-10195,Tamarac,Florida,Office Supplies,Supplies,961.48,5,0.2,-204.3145
21-11-2013,NZ-18565,Columbus,Ohio,Office Supplies,Fasteners,19.096,7,0.2,6.6836
21-11-2013,NZ-18565,Columbus,Ohio,Office Supplies,Labels,18.496,8,0.2,6.2424
21-11-2013,NZ-18565,Columbus,Ohio,Technology,Accessories,255.984,2,0.2,54.3966
21-11-2013,NZ-18565,Columbus,Ohio,Furniture,Bookcases,86.97,3,0.5,-48.7032
